Assay_Type	AvgSpotLen	BioSample	DATASTORE_provider	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	cell_line	disease	disease_stage	ethnicity	sex	tissue	AssemblyName	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_region	InsertSize	Organism	Platform	ReleaseDate	SRA_Study	isolate	sample_type
WXS	152	SAMN10987831	ncbi	SRX5418073	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6770	3405	SRR8619014	SRS4396034	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	53	HSSRB	KHM-1B	lymphoid_neoplasm (plasma_cell_myeloma)	primary	Asian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987833	ncbi	SRX5418074	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-KG1C_CENTRAL_NERVOUS_SYSTEM	25/02/2019	5322	2649	SRR8619013	SRS4396037	KG1C_CENTRAL_NERVOUS_SYSTEM	13	HSRRB	KG-1-C	glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)	primary	Asian	male	central_nervous_system	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988012	ncbi	SRX5418075	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	25/02/2019	7064	3536	SRR8619012	SRS4395486	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	67	ECACC:PE/CA-PJ41 (clone D2)	PE/CA-PJ41 (clone D2)	carcinoma (squamous_cell_carcinoma)	primary	Caucasian	female	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987723	ncbi	SRX5418076	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6040	3052	SRR8619011	SRS4398344	PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	Riken	PCM6	lymphoid_neoplasm (plasma_cell_myeloma)	primary	Asian	NA	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987803	ncbi	SRX5418077	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PATU8902_PANCREAS	25/02/2019	9756	5457	SRR8619010	SRS4395701	PATU8902_PANCREAS	44	DSMZ:PA-TU-8902	PA-TU-8902	carcinoma (ductal_carcinoma)	primary	Caucasian	female	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988160	ncbi	SRX5418078	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PANC0504_PANCREAS	25/02/2019	5601	2792	SRR8619009	SRS4395426	PANC0504_PANCREAS	77	ATCC:Panc 05.04	Panc 05.04	carcinoma	primary	Caucasian	female	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988264	ncbi	SRX5418079	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PANC0403_PANCREAS	25/02/2019	6754	3406	SRR8619008	SRS4395634	PANC0403_PANCREAS	70	ATCC:Panc 04.03	Panc 04.03	carcinoma	primary	Caucasian	male	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987902	ncbi	SRX5418080	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PANC0213_PANCREAS	25/02/2019	8178	4130	SRR8619007	SRS4395537	PANC0213_PANCREAS	64	NIBRI	Panc 02.13	carcinoma	primary	Caucasian	female	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987714	ncbi	SRX5418081	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PANC0203_PANCREAS	25/02/2019	7466	3771	SRR8619006	SRS4395846	PANC0203_PANCREAS	70	ATCC:Panc 02.03	Panc 02.03	carcinoma	primary	Caucasian	female	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987599	ncbi	SRX5418082	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	5512	2748	SRR8619005	SRS4395845	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7	NIBRI	P3HR-1	lymphoid_neoplasm (Burkitt_lymphoma)	metastasis	African_american	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987747	ncbi	SRX5418083	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU520_STOMACH	25/02/2019	6659	3313	SRR8619004	SRS4395229	SNU520_STOMACH	60	KCLB:SNU-520	SNU-520	carcinoma	primary	Asian	female	stomach	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988167	ncbi	SRX5418084	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-HS616T_FIBROBLAST	25/02/2019	6150	3052	SRR8619003	SRS4395382	HS616T_FIBROBLAST	16	NA	Hs 616.T	lymphoid_neoplasm (Hodgkin_lymphoma)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988021	ncbi	SRX5418085	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	8254	4142	SRR8619002	SRS4396022	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5	DSMZ:SUP-M2	SUP-M2	lymphoid_neoplasm (anaplastic_large_cell_lymphoma)	metastasis	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987727	ncbi	SRX5418086	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-UBLC1_URINARY_TRACT	25/02/2019	5971	2979	SRR8619001	SRS4395455	UBLC1_URINARY_TRACT	NA	ECACC:U-BLC1	U-BLC1	carcinoma (transitional_cell_carcinoma)	primary	African_american	female	urinary_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988124	ncbi	SRX5418087	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	5007	2473	SRR8619000	SRS4395479	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4	HSRRB	PEER	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	primary	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988008	ncbi	SRX5418088	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-PECAPJ49_UPPER_AERODIGESTIVE_TRACT	25/02/2019	5668	2843	SRR8618999	SRS4395478	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	57	ECACC:PE/CA-PJ49	PE/CA-PJ49	carcinoma (squamous_cell_carcinoma)	primary	Caucasian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987687	ncbi	SRX5418089	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-BICR16_UPPER_AERODIGESTIVE_TRACT	25/02/2019	6440	3208	SRR8618998	SRS4395869	BICR16_UPPER_AERODIGESTIVE_TRACT	NA	ECACC:BICR 16	BICR 16	carcinoma (squamous_cell_carcinoma)	primary	Caucasian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988131	ncbi	SRX5418090	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-HS819T_FIBROBLAST	25/02/2019	5677	2806	SRR8618997	SRS4395464	HS819T_FIBROBLAST	60	NIBRI	Hs 819.T	chondrosarcoma	primary	Caucasian	male	bone	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987616	ncbi	SRX5418091	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-RMUGS_OVARY	25/02/2019	7046	3546	SRR8618996	SRS4395372	RMUGS_OVARY	62	NIBRI	RMUG-S	carcinoma (adenocarcinoma)	primary	Asian	female	ovary	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987721	ncbi	SRX5418092	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-BICR18_UPPER_AERODIGESTIVE_TRACT	25/02/2019	5476	2814	SRR8618995	SRS4395870	BICR18_UPPER_AERODIGESTIVE_TRACT	NA	ECACC:BICR 18	BICR 18	carcinoma (squamous_cell_carcinoma)	primary	Caucasian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988233	ncbi	SRX5418093	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-TOV21G_OVARY	25/02/2019	6346	3252	SRR8618994	SRS4395668	TOV21G_OVARY	62	NA	TOV-21G	carcinoma (clear_cell_carcinoma)	primary	Caucasian	female	ovary	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988543	ncbi	SRX5418094	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6353	3162	SRR8618993	SRS4395144	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	16	DSMZ:RPMI-8402	RPMI-8402	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	primary	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987904	ncbi	SRX5418095	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-RDES_BONE	25/02/2019	6476	3399	SRR8618992	SRS4395171	RDES_BONE	19	NIBRI	RD-ES	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	primary	Caucasian	male	bone	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988445	ncbi	SRX5418096	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-HS834T_FIBROBLAST	25/02/2019	11778	5671	SRR8618991	SRS4395471	HS834T_FIBROBLAST	NA	NA	Hs 834.T	malignant_melanoma	metastasis	Caucasian	NA	skin	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988521	ncbi	SRX5418097	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-HS852T_SKIN	25/02/2019	6306	3166	SRR8618990	SRS4396065	HS852T_SKIN	NA	NA	Hs 852.T	malignant_melanoma	primary	Asian	NA	skin	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987621	ncbi	SRX5418098	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-RKN_SOFT_TISSUE	25/02/2019	5785	2886	SRR8618989	SRS4395891	RKN_SOFT_TISSUE	45	HSSRB	RKN	leiomyosarcoma	primary	Asian	female	soft_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988123	ncbi	SRX5418099	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-HS675T_FIBROBLAST	25/02/2019	6063	3027	SRR8618988	SRS4395102	HS675T_FIBROBLAST	NA	NIBRI	Hs 675.T	carcinoma	primary	Caucasian	male	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987731	ncbi	SRX5418100	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU61_LARGE_INTESTINE	25/02/2019	6016	3020	SRR8618987	SRS4395234	SNU61_LARGE_INTESTINE	48	KCLB:SNU-61	SNU-61	carcinoma	primary	Asian	male	large_intestine	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988459	ncbi	SRX5418101	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JL1_PLEURA	25/02/2019	5657	2807	SRR8618986	SRS4395220	JL1_PLEURA	54	DSMZ:JL-1	JL-1	mesothelioma	primary	Caucasian	male	pleura	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987951	ncbi	SRX5418102	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	8791	4461	SRR8618985	SRS4395797	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NIBRI	JM1	lymphoid_neoplasm (B_cell_lymphoma_unspecified)	primary	Caucasian	NA	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988102	ncbi	SRX5418103	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JMSU1_URINARY_TRACT	25/02/2019	5548	2761	SRR8618984	SRS4395798	JMSU1_URINARY_TRACT	75	DSMZ:JMSU-1	JMSU-1	carcinoma	primary	Asian	male	urinary_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988565	ncbi	SRX5418104	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6456	3627	SRR8618983	SRS4395683	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14	DSMZ:JURKAT	JURKAT	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10989576	ncbi	SRX5418105	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JHUEM7_ENDOMETRIUM	25/02/2019	5072	2542	SRR8618982	SRS4395805	JHUEM7_ENDOMETRIUM	58	GNF	JHUEM-7	carcinoma (adenocarcinoma)	primary	Asian	female	endometrium	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10989571	ncbi	SRX5418106	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JIMT1_BREAST	25/02/2019	5813	2899	SRR8618981	SRS4395799	JIMT1_BREAST	62	DSMZ:JIMT-1	JIMT-1	carcinoma (ductal_carcinoma)	metastasis	Caucasian	female	breast	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988455	ncbi	SRX5418107	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6093	3022	SRR8618980	SRS4395800	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	57	DSMZ:JJN-3	JJN-3	lymphoid_neoplasm (plasma_cell_myeloma)	primary	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988504	ncbi	SRX5418108	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	7628	3834	SRR8618979	SRS4395801	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	62	DSMZ:JK-1	JK-1	haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)	primary	Asian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988501	ncbi	SRX5418109	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	7987	4032	SRR8618978	SRS4395682	JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	73	DSMZ:JURL-MK1	JURL-MK1	haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)	primary	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988224	ncbi	SRX5418110	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-K029AX_SKIN	25/02/2019	8973	5053	SRR8618977	SRS4395223	K029AX_SKIN	NA	Acd Lab	K029AX	malignant_melanoma	primary	Caucasian	NA	skin	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987961	ncbi	SRX5418111	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-253J_URINARY_TRACT	25/02/2019	6470	3208	SRR8618976	SRS4395832	253J_URINARY_TRACT	NA	KCLB:253J	253J	carcinoma (transitional_cell_carcinoma)	primary	Caucasian	NA	urinary_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988080	ncbi	SRX5418112	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU46_UPPER_AERODIGESTIVE_TRACT	25/02/2019	6565	3295	SRR8618975	SRS4395231	SNU46_UPPER_AERODIGESTIVE_TRACT	66	KCLB:SNU-46	SNU-46	carcinoma (squamous_cell_carcinoma)	primary	Asian	male	upper_aerodigestive_tract	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10989552	ncbi	SRX5418113	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	5984	2988	SRR8618974	SRS4395689	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	77	DSMZ:KARPAS-620	KARPAS-620	lymphoid_neoplasm (plasma_cell_myeloma)	primary	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988085	ncbi	SRX5418114	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU410_PANCREAS	25/02/2019	8159	4601	SRR8618973	SRS4395470	SNU410_PANCREAS	53	KCLB:SNU-410	SNU-410	carcinoma	primary	Asian	male	pancreas	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988076	ncbi	SRX5418115	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU466_CENTRAL_NERVOUS_SYSTEM	25/02/2019	6427	3646	SRR8618972	SRS4395730	SNU466_CENTRAL_NERVOUS_SYSTEM	61	KCLB:SNU-466	SNU-466	glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)	primary	Asian	male	central_nervous_system	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988456	ncbi	SRX5418116	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6144	3111	SRR8618971	SRS4395167	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	73	DSMZ:NU-DHL-1	NU-DHL-1	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	metastasis	Caucasian	male	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988111	ncbi	SRX5418117	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-NUGC2_STOMACH	25/02/2019	6899	3483	SRR8618970	SRS4395166	NUGC2_STOMACH	56	NIBRI	NUGC-2	carcinoma (adenocarcinoma)	primary	Asian	female	stomach	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988061	ncbi	SRX5418118	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-SNU489_CENTRAL_NERVOUS_SYSTEM	25/02/2019	6878	3466	SRR8618969	SRS4395733	SNU489_CENTRAL_NERVOUS_SYSTEM	54	KCLB:SNU-489	SNU-489	glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)	primary	Asian	male	central_nervous_system	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988357	ncbi	SRX5418119	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	6710	3510	SRR8618968	SRS4395679	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	53	ATCC:K-562	K-562	haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia, Ph_positive)	metastasis	Caucasian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988095	ncbi	SRX5418120	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-NCIH684_LIVER	25/02/2019	8618	4806	SRR8618967	SRS4395838	NCIH684_LIVER	55	KCLB:NCI-H684	NCI-H684	other (hepatoblastoma)	primary	Caucasian	NA	liver	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10988219	ncbi	SRX5418121	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-NCIH889_LUNG	25/02/2019	8339	4225	SRR8618966	SRS4395981	NCIH889_LUNG	69	ATCC:NCI-H889	NCI-H889	carcinoma (small_cell_carcinoma)	metastasis	Caucasian	female	lung	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
WXS	152	SAMN10987830	ncbi	SRX5418122	Illumina HiSeq 2000	PAIRED	Hybrid Selection	GENOMIC	WXS-NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	25/02/2019	8140	4577	SRR8618965	SRS4395365	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	35	HSSRB	NCO2	haematopoietic_neoplasm (chronic_myeloid_leukaemia)	primary	Asian	female	haematopoietic_and_lymphoid_tissue	GCA_000001405.13	PRJNA523380	Human	BROAD INSTITUTE	public	sra		0	Homo sapiens	ILLUMINA	27/03/2019	SRP186687	cell line	cell culture
